18Ireland,310.135,40,7.753375
18Kaas,72.500,10,7.250000
18Lilliput,467.190,64,7.299844
18MEX,582.700,74,7.874324
18NEB,393.870,54,7.293889
18NL,73.400,10,7.340000
18NY,199.700,26,7.680769
18NewEngland,50.500,8,6.312500
18OE: On the Rails of the Orient Express,522.230,70,7.460429
18PA,64.600,9,7.177778
18SX,45.000,6,7.500000
18Scan,503.200,69,7.292754
18TN,100.000,15,6.666667
18US,73.250,12,6.104167
18VA,356.700,52,6.859615
18West,109.800,15,7.320000
1906 San Francisco,348.200,48,7.254167
1911 Amundsen vs Scott,399.660,62,6.446129
1914,316.400,54,5.859259
1914: Glory's End,235.60,37,6.367568
1914: Offensive à outrance,323.10,39,8.284615
1914: Opening Moves,44.00,6,7.333333
1914: Revision Kit,9.00,2,4.500000
1914: Twilight in the East,424.50,51,8.323529
1918: Imperial Germany's Last Chance,81.00,13,6.230769
"1918: Operation Michel – March 21-30, Germany's Last Chance in the West",91.70,15,6.113333
1918: Storm in the West,372.90,53,7.035849
1920 Wall Street,382.95,58,6.602586
1936: Guerra Civil,527.31,68,7.754559
1939-45 Harc Európáért,62.00,8,7.750000
1940,251.00,38,6.605263
1940: What If Germany Went East?,37.00,6,6.166667
1942,128.80,24,5.366667
1942 USS Yorktown,207.70,30,6.923333
1944,22.50,3,7.500000
1944: Race to the Rhine,529.03,74,7.149054
1944: Second Front – From D-Day to Victory in the West,50.00,10,5.000000
1960: The Making of the President,606.67,79,7.679367
1969,441.25,73,6.044521
1984: Animal Farm,87.000,16,5.437500
1987 Channel Tunnel,176.700,23,7.682609
1989: Dawn of Freedom,567.700,74,7.671622
19th Hole Golf,25.000,8,3.125000
1st & Goal,476.360,75,6.351467
1st Alamein,117.500,16,7.343750
2 de Mayo,542.450,76,7.137500
20 Questions,378.135,71,5.325845
20 Questions for Kids,18.500,4,4.625000
20 Second Showdown,81.100,10,8.110000
"20,000 Leagues Under the Sea Game",73.500,14,5.250000
